Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,percent_change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"45,798,928","44,414,121",3.12%
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"32,171,795","31,892,301",0.88%
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"31,326,268","30,528,737",2.61%
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,"28,022,904","27,518,358",1.83%
5,NM,CO,DEN,Denver,Denver International,P,L,"25,799,841","25,667,499",0.52%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,"24,520,981","23,664,832",3.62%
7,WP,CA,SFO,San Francisco ,San Francisco International,P,L,"21,284,236","20,056,568",6.12%
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"20,033,816","19,022,535",5.32%
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,"19,959,651","19,872,617",0.44%
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"19,560,870","19,750,306",-0.96%
11,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"19,039,000","19,306,660",-1.39%
12,SO,FL,MIA,Miami,Miami International,P,L,"18,987,488","18,342,158",3.52%
13,SO,FL,MCO,Orlando,Orlando International,P,L,"17,159,427","17,250,415",-0.53%
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"17,055,993","16,814,092",1.44%
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"16,121,123","15,971,676",0.94%
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"15,943,878","15,895,653",0.30%
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"15,599,879","15,716,865",-0.74%
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,589,337","14,883,180",-1.97%
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"14,293,695","14,180,730",0.80%
20,EA,NY,LGA,New York,La Guardia,P,L,"12,818,717","11,989,227",6.92%
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"11,445,103","11,332,466",0.99%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"11,186,444","11,067,319",1.08%
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"10,816,216","11,044,383",-2.07%
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"9,579,840","9,701,756",-1.26%
25,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"9,462,231","9,053,004",4.52%
26,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"9,436,387","9,134,576",3.30%
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,"9,225,848","8,689,699",6.17%
28,WP,CA,SAN,San Diego,San Diego International,P,L,"8,686,621","8,465,683",2.61%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"8,218,487","8,174,194",0.54%
30,NM,OR,PDX,Portland,Portland International,P,M,"7,142,620","6,808,486",4.91%
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,"6,208,750","6,159,090",0.81%
32,SW,TX,HOU,Houston,William P Hobby,P,M,"5,043,737","4,753,554",6.10%
33,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"4,926,683","4,550,526",8.27%
34,CE,MO,MCI,Kansas City,Kansas City International,P,M,"4,866,850","5,011,000",-2.88%
35,SO,TN,BNA,Nashville,Nashville International,P,M,"4,797,102","4,673,047",2.65%
36,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"4,606,252","4,436,661",3.82%
37,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"4,490,374","4,462,508",0.62%
38,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"4,381,172","4,247,802",3.14%
39,WP,CA,SMF,Sacramento,Sacramento International,P,M,"4,357,899","4,370,895",-0.30%
40,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,346,941","4,401,033",-1.23%
41,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"4,293,624","4,255,411",0.90%
42,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,204,478","3,983,130",5.56%
43,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,"4,077,654","4,108,006",-0.74%
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,036,625","3,992,304",1.11%
45,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"3,902,628","3,852,886",1.29%
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,892,338","4,070,614",-4.38%
47,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,710,384","4,671,976",-20.58%
48,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"3,634,152","3,748,366",-3.05%
49,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"3,586,422","3,670,396",-2.29%
50,SO,TN,MEM,Memphis,Memphis International,P,M,"3,359,668","4,344,213",-22.66%
51,GL,OH,CMH,Columbus,Port Columbus International,P,M,"3,095,575","3,134,379",-1.24%
52,SO,KY,CVG,Greater Cincinnati ,Cincinnati/Northern Kentucky International,P,M,"2,937,850","3,422,466",-14.16%
53,WP,HI,OGG,Kahului,Kahului,P,M,"2,861,278","2,683,933",6.61%
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"2,796,359","2,877,158",-2.81%
55,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,647,610","2,772,315",-4.50%
56,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,630,574","2,768,435",-4.98%
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,592,630","2,582,597",0.39%
58,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,579,023","2,700,514",-4.50%
59,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,249,717","2,354,987",-4.47%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,142,393","2,271,458",-5.68%
61,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,027,203","2,144,915",-5.49%
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,018,738","2,047,055",-1.38%
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,809,322","1,920,699",-5.80%
64,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,801,650","1,738,438",3.64%
65,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,710,649","1,779,679",-3.88%
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,685,333","1,821,051",-7.45%
67,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,651,440","1,606,695",2.78%
68,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,642,790","1,650,707",-0.48%
69,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,582,565","1,571,155",0.73%
70,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,554,846","1,512,212",2.82%
71,WP,GU,GUM,Tamuning,Guam International,P,S,"1,477,926","1,369,586",7.91%
72,NM,WA,GEG,Spokane,Spokane International,P,S,"1,456,279","1,487,913",-2.13%
73,SW,TX,ELP,El Paso,El Paso International,P,S,"1,442,102","1,458,965",-1.16%
74,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,412,483","1,429,282",-1.18%
75,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,"1,367,091","1,295,389",5.54%
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,324,202","1,346,122",-1.63%
77,WP,HI,LIH,Lihue,Lihue,P,S,"1,308,549","1,203,525",8.73%
78,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,307,505","1,395,554",-6.31%
79,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"1,289,758","1,247,333",3.40%
80,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,283,970","1,247,459",2.93%
81,EA,NY,ALB,Albany,Albany International,P,S,"1,222,354","1,216,626",0.47%
82,NE,NH,MHT,Manchester,Manchester,P,S,"1,210,189","1,342,308",-9.84%
83,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,202,903","1,190,967",1.00%
84,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"1,111,442","1,063,673",4.49%
85,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,"1,063,153","1,126,552",-5.63%
86,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,018,188","932,828",9.15%
87,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"974,293","982,709",-0.86%
88,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"936,288","880,994",6.28%
89,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"910,712","814,243",11.85%
90,EA,NY,HPN,White Plains,Westchester County,P,S,"893,184","972,385",-8.15%
91,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"889,135","894,290",-0.58%
92,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"873,069","768,938",13.54%
93,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"867,720","759,510",14.25%
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"846,278","841,237",0.60%
95,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"836,998","828,516",1.02%
96,NE,ME,PWM,Portland,Portland International Jetport,P,S,"799,136","833,005",-4.07%
97,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"799,053","741,365",7.78%
98,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"789,663","785,251",0.56%
