Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"46,604,273","45,308,407",2.86%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"34,314,197","32,425,892",5.82%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"33,843,426","32,317,835",4.72%
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,"30,804,567","29,038,128",6.08%
5,EA,NY,JFK,New York,John F Kennedy International,P,L,"26,244,928","25,036,358",4.83%
6,NM,CO,DEN,Denver,Denver International,P,L,"26,000,591","25,496,885",1.98%
7,WP,CA,SFO,San Francisco  ,San Francisco International,P,L,"22,770,783","21,704,626",4.91%
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"21,537,725","21,346,601",0.90%
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,"20,620,248","19,946,179",3.38%
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"20,344,867","19,525,109",4.20%
11,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"19,772,087","18,952,840",4.32%
12,SO,FL,MIA,Miami,Miami International,P,L,"19,471,466","19,420,089",0.26%
13,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"17,888,080","16,690,295",7.18%
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"17,773,405","17,546,506",1.29%
15,SO,FL,MCO,Orlando,Orlando International,P,L,"17,278,608","16,884,524",2.33%
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"16,972,678","16,280,835",4.25%
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"15,775,941","15,683,523",0.59%
18,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"15,507,561","14,810,153",4.71%
19,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,792,339","14,727,945",0.44%
20,EA,NY,LGA,New York,Laguardia,P,L,"13,535,372","13,372,269",1.22%
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"12,031,860","11,538,140",4.28%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"11,022,200","11,132,731",-0.99%
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"10,415,948","10,570,993",-1.47%
24,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"10,311,996","9,915,646",4.00%
25,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"10,139,065","9,668,048",4.87%
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"10,115,546","9,838,034",2.82%
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,"9,463,000","9,466,995",-0.04%
28,WP,CA,SAN,San Diego,San Diego International,P,L,"9,333,152","8,878,772",5.12%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"8,531,561","8,267,752",3.19%
30,NM,OR,PDX,Portland,Portland International,P,L,"7,878,760","7,452,603",5.72%
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,"6,108,758","6,216,104",-1.73%
32,SW,TX,HOU,Houston,William P Hobby,P,M,"5,800,726","5,377,050",7.88%
33,SO,TN,BNA,Nashville,Nashville International,P,M,"5,396,958","5,050,989",6.85%
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"5,219,982","4,900,959",6.51%
35,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"5,069,257","4,770,716",6.26%
36,CE,MO,MCI,Kansas City,Kansas City International,P,M,"4,982,722","4,836,221",3.03%
37,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"4,870,569","4,576,539",6.42%
38,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"4,673,869","4,482,016",4.28%
39,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"4,621,003","4,315,839",7.07%
40,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"4,584,147","4,540,628",0.96%
41,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"4,522,341","4,023,779",12.39%
42,WP,CA,SMF,Sacramento,Sacramento International,P,M,"4,384,616","4,255,145",3.04%
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,187,888","4,103,197",2.06%
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,046,856","4,005,874",1.02%
45,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"3,948,006","3,788,870",4.20%
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,827,860","3,812,460",0.40%
47,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"3,686,315","4,375,448",-15.75%
48,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"3,605,908","3,535,015",2.01%
49,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,228,607","3,214,811",0.43%
50,GL,OH,CMH,Columbus,Port Columbus International,P,M,"3,115,501","3,063,822",1.69%
51,WP,HI,OGG,Kahului,Kahului,P,M,"3,019,338","2,955,304",2.17%
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"2,926,242","2,844,507",2.87%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,913,380","2,681,181",8.66%
54,SO,KY,CVG,Greater Cincinnati  ,Cincinnati/Northern Kentucky International,P,M,"2,875,844","2,776,377",3.58%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,589,198","2,549,070",1.57%
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,381,826","2,325,030",2.44%
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,378,469","2,567,594",-7.37%
58,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,354,184","2,477,783",-4.99%
59,WP,CA,ONT,Ontario,Ontario International,P,M,"2,037,346","1,970,538",3.39%
60,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,020,354","1,975,339",2.28%
61,WP,CA,BUR,Burbank,Bob Hope,P,M,"1,928,491","1,918,011",0.55%
62,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,861,272","1,788,400",4.07%
63,SO,TN,MEM,Memphis,Memphis International,P,S,"1,800,268","2,301,003",-21.76%
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,764,828","1,884,830",-6.37%
65,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,671,096","1,597,913",4.58%
66,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,634,983","1,668,667",-2.02%
67,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,611,572","1,671,926",-3.61%
68,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,597,247","1,569,932",1.74%
69,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,539,326","1,441,415",6.79%
70,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,488,114","1,560,754",-4.65%
71,NM,WA,GEG,Spokane,Spokane International,P,S,"1,445,572","1,417,731",1.96%
72,WP,GU,GUM,Tamuning,Guam International,P,S,"1,436,726","1,562,165",-8.03%
73,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,"1,403,559","1,376,641",1.96%
74,SW,TX,ELP,El Paso,El Paso International,P,S,"1,395,363","1,363,102",2.37%
75,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,378,352","1,313,741",4.92%
