Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 16 Enplanements,CY 15 Enplanements,percent_change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"50,501,858","49,340,732",2.35%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"39,636,042","36,351,272",9.04%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"37,589,899","36,305,668",3.54%
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"31,283,579","31,589,839",-0.97%
5,EA,NY,JFK,New York,John F Kennedy International,P,L,"29,239,151","27,782,369",5.24%
6,NM,CO,DEN,Denver,Denver International,P,L,"28,267,394","26,280,043",7.56%
7,WP,CA,SFO,San Francisco  ,San Francisco International,P,L,"25,707,101","24,190,560",6.27%
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,"22,833,267","21,857,693",4.46%
9,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"21,887,110","20,148,980",8.63%
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"21,511,880","21,913,166",-1.83%
11,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"20,896,265","21,351,504",-2.13%
12,SO,FL,MIA,Miami,Miami International,P,L,"20,875,813","20,986,349",-0.53%
13,SO,FL,MCO,Orlando,Orlando International,P,L,"20,283,541","18,759,938",8.12%
14,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"20,062,072","20,595,881",-2.59%
15,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"19,923,009","18,684,818",6.63%
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"18,123,844","17,634,273",2.78%
17,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"17,759,044","16,290,362",9.02%
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"16,847,135","16,255,520",3.64%
19,EA,NY,LGA,New York,Laguardia,P,L,"14,762,593","14,319,924",3.09%
20,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,564,419","15,101,349",-3.56%
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"14,263,270","13,061,632",9.20%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"12,340,972","11,738,845",5.13%
23,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"11,470,854","11,242,375",2.03%
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"11,143,738","10,634,538",4.79%
25,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"11,044,387","10,830,850",1.97%
26,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"10,596,942","10,363,974",2.25%
27,WP,CA,SAN,San Diego,San Diego International,P,L,"10,340,164","9,985,763",3.55%
28,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,"9,656,340","9,479,094",1.87%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"9,194,994","9,150,458",0.49%
30,NM,OR,PDX,Portland,Portland International,P,L,"9,071,154","8,340,252",8.76%
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"7,554,596","7,040,950",7.30%
32,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,"6,793,076","6,239,248",8.88%
33,SO,TN,BNA,Nashville,Nashville International,P,M,"6,338,517","5,715,205",10.91%
34,SW,TX,HOU,Houston,William P Hobby,P,M,"6,285,181","5,937,990",5.85%
35,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"6,095,545","5,797,562",5.14%
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"5,934,639","5,506,687",7.77%
37,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"5,569,705","5,329,711",4.50%
38,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"5,401,714","4,954,735",9.02%
39,CE,MO,MCI,Kansas City,Kansas City International,P,M,"5,391,557","5,135,127",4.99%
40,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"5,321,603","4,822,480",10.35%
41,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"5,217,242","4,945,209",5.50%
42,WP,CA,SMF,Sacramento,Sacramento International,P,M,"4,969,366","4,714,729",5.40%
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,343,354","4,233,638",2.59%
44,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"4,239,261","4,159,215",1.92%
45,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"4,216,766","3,889,567",8.41%
46,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,179,994","4,091,434",2.16%
47,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,083,476","3,916,922",4.25%
