Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 20 Enplanements,CY 19 Enplanements,percent_change,
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"20,559,866","53,505,795",-61.57%,
2,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"18,593,421","35,778,573",-48.03%,
3,NM,CO,DEN,Denver,Denver International,P,L,"16,243,216","33,592,945",-51.65%,
4,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"14,606,034","40,871,223",-64.26%,
5,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"14,055,777","42,939,104",-67.27%,
6,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"12,952,869","24,199,688",-46.48%,
7,WP,NV,LAS,Las Vegas,Harry Reid International,P,L,"10,584,059","24,728,361",-57.20%,
8,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"10,531,436","22,433,552",-53.05%,
9,SO,FL,MCO,Orlando,Orlando International,P,L,"10,467,728","24,562,271",-57.38%,
10,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"9,462,411","25,001,762",-62.15%,
11,SO,FL,MIA,Miami,Miami International,P,L,"8,786,007","21,421,031",-58.98%,
12,SW,TX,IAH,Houston,George Bush Intcntl/Houston,P,L,"8,682,558","21,905,309",-60.36%,
13,EA,NY,JFK,New York,John F Kennedy International,P,L,"8,269,819","31,036,655",-73.35%,
14,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"8,015,744","17,950,989",-55.35%,
15,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"7,985,474","23,160,763",-65.52%,
16,WP,CA,SFO,San Francisco ,San Francisco International,P,L,"7,745,057","27,779,230",-72.12%,
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"7,069,720","19,192,917",-63.16%,
18,GL,MI,DTW,Detroit,Detroit Metro Wayne County,P,L,"6,822,324","18,143,040",-62.40%,
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"6,035,452","20,699,377",-70.84%,
